"IndustrySummary","Type","Sector","SubSector","Industry","Year","employment_T","compensation_M"
"All Industries","All Industries",,,,2020,"2224",177220.00
"    Private industries"," Private industries",,,,2020,"1520",87937.00
"        Agriculture, forestry, fishing, and hunting"," Private industries","Agriculture, forestry, fishing, and hunting",,,2020,"14",1077.00
"            Farms"," Private industries","Agriculture, forestry, fishing, and hunting","Farms",,2020,"2",83.00
"            Forestry, fishing, and related activities"," Private industries","Agriculture, forestry, fishing, and hunting","Forestry, fishing, and related activities",,2020,"13",994.00
"        Mining"," Private industries","Mining","Forestry, fishing, and related activities",,2020,"65",8558.00
"            Oil and gas extraction"," Private industries","Mining","Oil and gas extraction",,2020,"5",4842.00
"            Mining, except oil and gas"," Private industries","Mining","Mining, except oil and gas",,2020,"4",307.00
"            Support activities for mining"," Private industries","Mining","Support activities for mining",,2020,"57",3409.00
"        Utilities"," Private industries","Utilities","Support activities for mining",,2020,"9",1296.00
"        Construction"," Private industries","Construction","Support activities for mining",,2020,"81",2908.00
"        Manufacturing"," Private industries","Manufacturing","Support activities for mining",,2020,"134",10734.00
"            Durable goods"," Private industries","Manufacturing","Durable goods",,2020,"103",8783.00
"                Wood products"," Private industries","Manufacturing","Durable goods","Wood products",2020,"0",1.00
"                Nonmetallic mineral products"," Private industries","Manufacturing","Durable goods","Nonmetallic mineral products",2020,"0",18.00
"                Primary metals"," Private industries","Manufacturing","Durable goods","Primary metals",2020,"0",1.00
"                Fabricated metal products"," Private industries","Manufacturing","Durable goods","Fabricated metal products",2020,"1",37.00
"                Machinery"," Private industries","Manufacturing","Durable goods","Machinery",2020,"11",1417.00
"                Computer and electronic products"," Private industries","Manufacturing","Durable goods","Computer and electronic products",2020,"0",65.00
"                Electrical equipment, appliances, and components"," Private industries","Manufacturing","Durable goods","Electrical equipment, appliances, and components",2020,"1",106.00
"                Motor vehicles, bodies and trailers, and parts"," Private industries","Manufacturing","Durable goods","Motor vehicles, bodies and trailers, and parts",2020,"1",56.00
"                Other transportation equipment"," Private industries","Manufacturing","Durable goods","Other transportation equipment",2020,"85",6730.00
"                Furniture and related products"," Private industries","Manufacturing","Durable goods","Furniture and related products",2020,"0",7.00
"                Miscellaneous manufacturing"," Private industries","Manufacturing","Durable goods","Miscellaneous manufacturing",2020,"4",344.00
"            Nondurable goods"," Private industries","Manufacturing","Nondurable goods",,2020,"31",1950.00
"                Food and beverage and tobacco products"," Private industries","Manufacturing","Nondurable goods","Food and beverage and tobacco products",2020,"21",629.00
"                Textile mills and textile product mills"," Private industries","Manufacturing","Nondurable goods","Textile mills and textile product mills",2020,"1",69.00
"                Apparel and leather and allied products"," Private industries","Manufacturing","Nondurable goods","Apparel and leather and allied products",2020,"3",261.00
"                Paper products"," Private industries","Manufacturing","Nondurable goods","Paper products",2020,"0",.00
"                Printing and related support activities"," Private industries","Manufacturing","Nondurable goods","Printing and related support activities",2020,"0",4.00
"                Petroleum and coal products"," Private industries","Manufacturing","Nondurable goods","Petroleum and coal products",2020,"3",651.00
"                Chemical products"," Private industries","Manufacturing","Nondurable goods","Chemical products",2020,"2",319.00
"                Plastics and rubber products"," Private industries","Manufacturing","Nondurable goods","Plastics and rubber products",2020,"0",17.00
"        Wholesale trade"," Private industries","Manufacturing","Wholesale trade",,2020,"43",4140.00
"        Retail trade"," Private industries","Manufacturing","Retail trade",,2020,"329",12135.00
"            Motor vehicle and parts dealers"," Private industries","Manufacturing","Retail trade","Motor vehicle and parts dealers",2020,"25",1122.00
"            Food and beverage stores"," Private industries","Manufacturing","Retail trade","Food and beverage stores",2020,"52",1882.00
"            General merchandise stores"," Private industries","Manufacturing","Retail trade","General merchandise stores",2020,"61",2237.00
"            Other retail"," Private industries","Manufacturing","Retail trade","Other retail",2020,"191",6894.00
"        Transportation and warehousing"," Private industries","Manufacturing","Transportation and warehousing",,2020,"219",22676.00
"            Air transportation"," Private industries","Manufacturing","Transportation and warehousing","Air transportation",2020,"16",2012.00
"            Rail transportation"," Private industries","Manufacturing","Transportation and warehousing","Rail transportation",2020,"1",133.00
"            Water transportation"," Private industries","Manufacturing","Transportation and warehousing","Water transportation",2020,"45",5562.00
"            Truck transportation"," Private industries","Manufacturing","Transportation and warehousing","Truck transportation",2020,"24",1844.00
"            Transit and ground passenger transportation"," Private industries","Manufacturing","Transportation and warehousing","Transit and ground passenger transportation",2020,"8",452.00
"            Pipeline transportation"," Private industries","Manufacturing","Transportation and warehousing","Pipeline transportation",2020,"4",599.00
"            Other transportation and support activities"," Private industries","Manufacturing","Transportation and warehousing","Other transportation and support activities",2020,"84",10189.00
"            Warehousing and storage"," Private industries","Manufacturing","Transportation and warehousing","Warehousing and storage",2020,"36",1886.00
"        Information"," Private industries","Manufacturing","Information",,2020,"1",172.00
"            Publishing industries, except internet (includes software)"," Private industries","Manufacturing","Information","Publishing industries, except internet (includes software)",2020,"1",51.00
"            Motion picture and sound recording industries"," Private industries","Manufacturing","Information","Motion picture and sound recording industries",2020,"0",18.00
"            Broadcasting and telecommunications"," Private industries","Manufacturing","Information","Broadcasting and telecommunications",2020,"0",20.00
"            Data processing, internet publishing, and other information services"," Private industries","Manufacturing","Information","Data processing, internet publishing, and other information services",2020,"0",83.00
"        Finance, insurance, real estate, rental, and leasing"," Private industries","Finance, insurance, real estate, rental, and leasing","Information",,2020,"30",2946.00
"            Finance and insurance"," Private industries","Finance, insurance, real estate, rental, and leasing","Finance and insurance",,2020,"15",2085.00
"                Federal Reserve banks, credit intermediation, and related activities"," Private industries","Finance, insurance, real estate, rental, and leasing","Finance and insurance","Federal Reserve banks, credit intermediation, and related activities",2020,"0",44.00
"                Securities, commodity contracts, and investments"," Private industries","Finance, insurance, real estate, rental, and leasing","Finance and insurance","Securities, commodity contracts, and investments",2020,"0",.00
"                Insurance carriers and related activities"," Private industries","Finance, insurance, real estate, rental, and leasing","Finance and insurance","Insurance carriers and related activities",2020,"14",2041.00
"                Funds, trusts, and other financial vehicles"," Private industries","Finance, insurance, real estate, rental, and leasing","Finance and insurance","Funds, trusts, and other financial vehicles",2020,"0",.00
"            Real estate and rental and leasing"," Private industries","Finance, insurance, real estate, rental, and leasing","Real estate and rental and leasing",,2020,"16",861.00
"                Real estate"," Private industries","Finance, insurance, real estate, rental, and leasing","Real estate and rental and leasing","Real estate",2020,"9",536.00
"                    Housing"," Private industries","Finance, insurance, real estate, rental, and leasing","Real estate and rental and leasing","Housing",2020,"9",536.00
"                    Other real estate"," Private industries","Finance, insurance, real estate, rental, and leasing","Real estate and rental and leasing","Other real estate",2020,"0",1.00
"                Rental and leasing services and lessors of intangible assets"," Private industries","Finance, insurance, real estate, rental, and leasing","Rental and leasing services and lessors of intangible assets",,2020,"6",324.00
"        Professional and business services"," Private industries","Professional and business services","Rental and leasing services and lessors of intangible assets",,2020,"35",2401.00
"            Professional, scientific, and technical services"," Private industries","Professional and business services","Professional, scientific, and technical services",,2020,"13",2186.00
"                Legal services"," Private industries","Professional and business services","Professional, scientific, and technical services","Legal services",2020,"2",237.00
"                Computer systems design and related services"," Private industries","Professional and business services","Professional, scientific, and technical services","Computer systems design and related services",2020,"1",136.00
"                Miscellaneous professional, scientific, and technical services"," Private industries","Professional and business services","Professional, scientific, and technical services","Miscellaneous professional, scientific, and technical services",2020,"10",1813.00
"            Management of companies and enterprises"," Private industries","Professional and business services","Management of companies and enterprises",,2020,"0",43.00
"            Administrative and waste management services"," Private industries","Professional and business services","Administrative and waste management services",,2020,"23",172.00
"                Administrative and support services"," Private industries","Professional and business services","Administrative and waste management services","Administrative and support services",2020,"23",170.00
"                Waste management and remediation services"," Private industries","Professional and business services","Administrative and waste management services","Waste management and remediation services",2020,"0",2.00
"        Educational services, health care, and social assistance"," Private industries","Educational services, health care, and social assistance","Administrative and waste management services",,2020,"22",1780.00
"            Educational services"," Private industries","Educational services, health care, and social assistance","Administrative and waste management services",,2020,"20",1686.00
"            Health care and social assistance"," Private industries","Educational services, health care, and social assistance","Health care and social assistance",,2020,"1",93.00
"                Ambulatory health care services"," Private industries","Educational services, health care, and social assistance","Health care and social assistance","Ambulatory health care services",2020,"1",41.00
"                Hospitals"," Private industries","Educational services, health care, and social assistance","Health care and social assistance","Hospitals",2020,"0",43.00
"                Nursing and residential care facilities"," Private industries","Educational services, health care, and social assistance","Health care and social assistance","Nursing and residential care facilities",2020,"0",5.00
"                Social assistance"," Private industries","Educational services, health care, and social assistance","Health care and social assistance","Social assistance",2020,"0",4.00
"        Arts, entertainment, recreation, accommodation, and food services"," Private industries","Arts, entertainment, recreation, accommodation, and food services","Health care and social assistance",,2020,"513",15654.00
"            Arts, entertainment, and recreation"," Private industries","Arts, entertainment, recreation, accommodation, and food services","Arts, entertainment, and recreation",,2020,"160",4631.00
"                Performing arts, spectator sports, museums, and related activities"," Private industries","Arts, entertainment, recreation, accommodation, and food services","Arts, entertainment, and recreation","Performing arts, spectator sports, museums, and related activities",2020,"15",584.00
"                Amusements, gambling, and recreation industries"," Private industries","Arts, entertainment, recreation, accommodation, and food services","Arts, entertainment, and recreation","Amusements, gambling, and recreation industries",2020,"145",4047.00
"            Accommodation and food services"," Private industries","Arts, entertainment, recreation, accommodation, and food services","Accommodation and food services",,2020,"353",11024.00
"                Accommodation"," Private industries","Arts, entertainment, recreation, accommodation, and food services","Accommodation and food services","Accommodation",2020,"124",4925.00
"                Food services and drinking places"," Private industries","Arts, entertainment, recreation, accommodation, and food services","Accommodation and food services","Food services and drinking places",2020,"229",6099.00
"        Other services, except government"," Private industries","Arts, entertainment, recreation, accommodation, and food services","Other services, except government",,2020,"24",1460.00
"    Government","Government","Arts, entertainment, recreation, accommodation, and food services","Other services, except government",,2020,"704",89282.00
"        Federal","Government","Arts, entertainment, recreation, accommodation, and food services","Other services, except government",,2020,"629",82363.00
"            General government","Government","General government","Other services, except government",,2020,"629",82316.00
"                National defense","Government","General government","National defense",,2020,"545",75109.00
"                Nondefense","Government","General government","Nondefense",,2020,"84",7207.00
"            Government enterprises","Government","General government","Government enterprises",,2020,"0",47.00
"        State and local","Government","State and local","Government enterprises",,2020,"76",6919.00
"            General government","Government","State and local","General government",,2020,"41",3448.00
"            Government enterprises","Government","State and local","Government enterprises",,2020,"34",3471.00
"All Industries",,,,,2019,"2492",179356.00
"    Private industries",,,,,2019,"1812",98601.00
"        Agriculture, forestry, fishing, and hunting",,,,,2019,"15",1030.00
"            Farms",,,,,2019,"2",88.00
"            Forestry, fishing, and related activities",,,,,2019,"13",942.00
"        Mining",,,,,2019,"77",12517.00
"            Oil and gas extraction",,,,,2019,"5",5083.00
"            Mining, except oil and gas",,,,,2019,"4",279.00
"            Support activities for mining",,,,,2019,"67",7155.00
"        Utilities",,,,,2019,"9",1218.00
"        Construction",,,,,2019,"94",2818.00
"        Manufacturing",,,,,2019,"129",10468.00
"            Durable goods",,,,,2019,"97",8349.00
"                Wood products",,,,,2019,"0",1.00
"                Nonmetallic mineral products",,,,,2019,"0",18.00
"                Primary metals",,,,,2019,"0",1.00
"                Fabricated metal products",,,,,2019,"1",42.00
"                Machinery",,,,,2019,"11",1508.00
"                Computer and electronic products",,,,,2019,"1",63.00
"                Electrical equipment, appliances, and components",,,,,2019,"1",110.00
"                Motor vehicles, bodies and trailers, and parts",,,,,2019,"1",52.00
"                Other transportation equipment",,,,,2019,"79",6275.00
"                Furniture and related products",,,,,2019,"0",6.00
"                Miscellaneous manufacturing",,,,,2019,"3",271.00
"            Nondurable goods",,,,,2019,"32",2120.00
"                Food and beverage and tobacco products",,,,,2019,"22",702.00
"                Textile mills and textile product mills",,,,,2019,"1",54.00
"                Apparel and leather and allied products",,,,,2019,"4",260.00
"                Paper products",,,,,2019,"0",.00
"                Printing and related support activities",,,,,2019,"0",1.00
"                Petroleum and coal products",,,,,2019,"3",847.00
"                Chemical products",,,,,2019,"2",245.00
"                Plastics and rubber products",,,,,2019,"0",11.00
"        Wholesale trade",,,,,2019,"45",4207.00
"        Retail trade",,,,,2019,"351",11643.00
"            Motor vehicle and parts dealers",,,,,2019,"28",1038.00
"            Food and beverage stores",,,,,2019,"49",1651.00
"            General merchandise stores",,,,,2019,"63",2005.00
"            Other retail",,,,,2019,"211",6949.00
"        Transportation and warehousing",,,,,2019,"244",23739.00
"            Air transportation",,,,,2019,"24",2936.00
"            Rail transportation",,,,,2019,"2",204.00
"            Water transportation",,,,,2019,"51",5892.00
"            Truck transportation",,,,,2019,"27",1961.00
"            Transit and ground passenger transportation",,,,,2019,"13",820.00
"            Pipeline transportation",,,,,2019,"4",609.00
"            Other transportation and support activities",,,,,2019,"95",9831.00
"            Warehousing and storage",,,,,2019,"30",1487.00
"        Information",,,,,2019,"1",165.00
"            Publishing industries, except internet (includes software)",,,,,2019,"1",57.00
"            Motion picture and sound recording industries",,,,,2019,"0",9.00
"            Broadcasting and telecommunications",,,,,2019,"0",18.00
"            Data processing, internet publishing, and other information services",,,,,2019,"0",81.00
"        Finance, insurance, real estate, rental, and leasing",,,,,2019,"33",2956.00
"            Finance and insurance",,,,,2019,"15",2025.00
"                Federal Reserve banks, credit intermediation, and related activities",,,,,2019,"1",51.00
"                Securities, commodity contracts, and investments",,,,,2019,"0",.00
"                Insurance carriers and related activities",,,,,2019,"15",1974.00
"                Funds, trusts, and other financial vehicles",,,,,2019,"0",.00
"            Real estate and rental and leasing",,,,,2019,"18",931.00
"                Real estate",,,,,2019,"10",518.00
"                    Housing",,,,,2019,"10",517.00
"                    Other real estate",,,,,2019,"0",1.00
"                Rental and leasing services and lessors of intangible assets",,,,,2019,"8",413.00
"        Professional and business services",,,,,2019,"47",4044.00
"            Professional, scientific, and technical services",,,,,2019,"11",1517.00
"                Legal services",,,,,2019,"2",258.00
"                Computer systems design and related services",,,,,2019,"0",40.00
"                Miscellaneous professional, scientific, and technical services",,,,,2019,"8",1220.00
"            Management of companies and enterprises",,,,,2019,"0",44.00
"            Administrative and waste management services",,,,,2019,"36",2483.00
"                Administrative and support services",,,,,2019,"36",2482.00
"                Waste management and remediation services",,,,,2019,"0",1.00
"        Educational services, health care, and social assistance",,,,,2019,"22",1539.00
"            Educational services",,,,,2019,"21",1453.00
"            Health care and social assistance",,,,,2019,"1",86.00
"                Ambulatory health care services",,,,,2019,"0",37.00
"                Hospitals",,,,,2019,"0",41.00
"                Nursing and residential care facilities",,,,,2019,"0",5.00
"                Social assistance",,,,,2019,"0",3.00
"        Arts, entertainment, recreation, accommodation, and food services",,,,,2019,"711",20476.00
"            Arts, entertainment, and recreation",,,,,2019,"213",5789.00
"                Performing arts, spectator sports, museums, and related activities",,,,,2019,"18",579.00
"                Amusements, gambling, and recreation industries",,,,,2019,"195",5210.00
"            Accommodation and food services",,,,,2019,"498",14687.00
"                Accommodation",,,,,2019,"206",6729.00
"                Food services and drinking places",,,,,2019,"292",7958.00
"        Other services, except government",,,,,2019,"34",1782.00
"    Government",,,,,2019,"679",80755.00
"        Federal",,,,,2019,"599",73791.00
"            General government",,,,,2019,"599",73743.00
"                National defense",,,,,2019,"518",66937.00
"                Nondefense",,,,,2019,"81",6805.00
"            Government enterprises",,,,,2019,"0",48.00
"        State and local",,,,,2019,"80",6964.00
"            General government",,,,,2019,"43",3386.00
"            Government enterprises",,,,,2019,"37",3579.00
"All Industries",,,,,2018,"2418",169130.00
"    Private industries",,,,,2018,"1759",92200.00
"        Agriculture, forestry, fishing, and hunting",,,,,2018,"15",1034.00
"            Farms",,,,,2018,"2",91.00
"            Forestry, fishing, and related activities",,,,,2018,"13",943.00
"        Mining",,,,,2018,"63",10785.00
"            Oil and gas extraction",,,,,2018,"5",4686.00
"            Mining, except oil and gas",,,,,2018,"5",292.00
"            Support activities for mining",,,,,2018,"54",5807.00
"        Utilities",,,,,2018,"10",1154.00
"        Construction",,,,,2018,"81",2273.00
"        Manufacturing",,,,,2018,"126",9802.00
"            Durable goods",,,,,2018,"95",7857.00
"                Wood products",,,,,2018,"0",1.00
"                Nonmetallic mineral products",,,,,2018,"0",16.00
"                Primary metals",,,,,2018,"0",1.00
"                Fabricated metal products",,,,,2018,"1",36.00
"                Machinery",,,,,2018,"10",1533.00
"                Computer and electronic products",,,,,2018,"1",72.00
"                Electrical equipment, appliances, and components",,,,,2018,"1",126.00
"                Motor vehicles, bodies and trailers, and parts",,,,,2018,"1",44.00
"                Other transportation equipment",,,,,2018,"79",5783.00
"                Furniture and related products",,,,,2018,"0",3.00
"                Miscellaneous manufacturing",,,,,2018,"3",242.00
"            Nondurable goods",,,,,2018,"31",1945.00
"                Food and beverage and tobacco products",,,,,2018,"22",637.00
"                Textile mills and textile product mills",,,,,2018,"1",33.00
"                Apparel and leather and allied products",,,,,2018,"4",270.00
"                Paper products",,,,,2018,"0",.00
"                Printing and related support activities",,,,,2018,"0",1.00
"                Petroleum and coal products",,,,,2018,"3",795.00
"                Chemical products",,,,,2018,"1",198.00
"                Plastics and rubber products",,,,,2018,"0",11.00
"        Wholesale trade",,,,,2018,"44",4031.00
"        Retail trade",,,,,2018,"352",11062.00
"            Motor vehicle and parts dealers",,,,,2018,"27",1003.00
"            Food and beverage stores",,,,,2018,"48",1541.00
"            General merchandise stores",,,,,2018,"64",1960.00
"            Other retail",,,,,2018,"213",6559.00
"        Transportation and warehousing",,,,,2018,"239",22935.00
"            Air transportation",,,,,2018,"24",2894.00
"            Rail transportation",,,,,2018,"2",207.00
"            Water transportation",,,,,2018,"50",5702.00
"            Truck transportation",,,,,2018,"26",1825.00
"            Transit and ground passenger transportation",,,,,2018,"13",703.00
"            Pipeline transportation",,,,,2018,"4",598.00
"            Other transportation and support activities",,,,,2018,"93",9610.00
"            Warehousing and storage",,,,,2018,"27",1396.00
"        Information",,,,,2018,"1",150.00
"            Publishing industries, except internet (includes software)",,,,,2018,"1",60.00
"            Motion picture and sound recording industries",,,,,2018,"0",7.00
"            Broadcasting and telecommunications",,,,,2018,"0",16.00
"            Data processing, internet publishing, and other information services",,,,,2018,"0",67.00
"        Finance, insurance, real estate, rental, and leasing",,,,,2018,"31",2796.00
"            Finance and insurance",,,,,2018,"14",1932.00
"                Federal Reserve banks, credit intermediation, and related activities",,,,,2018,"0",47.00
"                Securities, commodity contracts, and investments",,,,,2018,"0",.00
"                Insurance carriers and related activities",,,,,2018,"14",1885.00
"                Funds, trusts, and other financial vehicles",,,,,2018,"0",.00
"            Real estate and rental and leasing",,,,,2018,"17",864.00
"                Real estate",,,,,2018,"9",487.00
"                    Housing",,,,,2018,"9",486.00
"                    Other real estate",,,,,2018,"0",1.00
"                Rental and leasing services and lessors of intangible assets",,,,,2018,"8",378.00
"        Professional and business services",,,,,2018,"45",4078.00
"            Professional, scientific, and technical services",,,,,2018,"10",1369.00
"                Legal services",,,,,2018,"2",248.00
"                Computer systems design and related services",,,,,2018,"0",38.00
"                Miscellaneous professional, scientific, and technical services",,,,,2018,"7",1083.00
"            Management of companies and enterprises",,,,,2018,"0",35.00
"            Administrative and waste management services",,,,,2018,"35",2674.00
"                Administrative and support services",,,,,2018,"35",2673.00
"                Waste management and remediation services",,,,,2018,"0",1.00
"        Educational services, health care, and social assistance",,,,,2018,"21",1413.00
