"","PortID","PortName","State","PortNameTiCase","County_GEOID","CountyName"
"1","3003","ABERDEEN-HOQUIAM, WA"," WA","Aberdeen","53027","Grays Harbor"
"2","1002","ALBANY, NY"," NY","Albany","36001","Albany"
"3","0708","ALEXANDRIA BAY, NY"," NY","Alexandria Bay","36045","Jefferson"
"4","5402","ALEXANDRIA, VA"," VA","Alexandria","51059","Fairfax"
"5","3843","ALPENA, MI"," MI","Alpena","26007","Alpena"
"6","3010","ANACORTES, WA"," WA","Anacortes","53057","Skagit"
"7","3126","ANCHORAGE, AK"," AK","Anchorage","02170","Matanuska-Susitna"
"8","1301","ANNAPOLIS, MD"," MD","Annapolis","24003","Anne Arundel"
"9","2901","ASTORIA, OR"," OR","Astoria","41007","Clatsop"
"10","1704","ATLANTA, GA"," GA","Atlanta","13067","Cobb"
"11","1303","BALTIMORE, MD"," MD","Baltimore","24005","Baltimore"
"12","0102","BANGOR, ME"," ME","Bangor","23019","Penobscot"
"13","0112","BAR HARBOR, ME"," ME","Bar Harbor","23009","Hancock"
"14","2004","BATON ROUGE, LA"," LA","Baton Rouge","22121","West Baton Rouge"
"15","1511","BEAUFORT-MOREHEAD CITY, NC"," NC","Beaufort-Morehead Cty","37031","Carteret"
"16","2104","BEAUMONT, TX"," TX","Beaumont","48199","Hardin"
"17","3005","BELLINGHAM, WA"," WA","Bellingham","53073","Whatcom"
"18","1904","BIRMINGHAM, AL"," AL","Birmingham","01073","Jefferson"
"19","3004","BLAINE, WA"," WA","Blaine","53073","Whatcom"
"20","0401","BOSTON, MA"," MA","Boston","25021","Norfolk"
"21","0410","BRIDGEPORT, CT"," CT","Bridgeport","09001","Fairfield"
"22","1701","BRUNSWICK, GA"," GA","Brunswick","13127","Glynn"
"23","0901","BUFFALO-NIAGARA FALLS, NY"," NY","Buffalo-Niagara Falls","36029","Erie"
"24","0115","CALAIS, ME"," ME","Calais","23029","Washington"
"25","1302","CAMBRIDGE, MD"," MD","Cambridge","24019","Dorchester"
"26","2830","CARQUINEZ STRAIT, CA"," CA","Carquinez Strait","06013","Contra Costa"
"27","1601","CHARLESTON, SC"," SC","Charleston","45019","Charleston"
"28","1409","CHARLESTON, WV"," WV","Charleston","51813","Virginia Beach"
"29","1512","CHARLOTTE, NC"," NC","Charlotte","45091","York"
"30","1102","CHESTER, PA"," PA","Chester","42045","Delaware"
"31","3901","CHICAGO, IL"," IL","Chicago","17043","DuPage"
"32","4102","CINCINNATI-LAWRENCEBURG, OH"," OH","Cincinnati","39061","Hamilton"
"33","0714","CLAYTON, NY"," NY","Clayton","36045","Jefferson"
"34","4101","CLEVELAND, OH"," OH","Cleveland","39035","Cuyahoga"
"35","1604","COLUMBIA, SC"," SC","Columbia","45079","Richland"
"36","4103","COLUMBUS, OH"," OH","Columbus","39045","Fairfield"
"37","2903","COOS BAY, OR"," OR","Coos Bay","41011","Coos"
"38","5312","CORPUS CHRISTI, TX"," TX","Corpus Christi","48409","San Patricio"
"39","2815","CROCKETT, CA"," CA","Crockett","06013","Contra Costa"
"40","4104","DAYTON, OH"," OH","Dayton","39113","Montgomery"
"41","3801","DETROIT, MI"," MI","Detroit","26125","Oakland"
"42","3510","DULUTH, MN - SUPERIOR, WI"," WI","Duluth","55031","Douglas"
"43","1503","DURHAM, NC"," NC","Durham","37183","Wake"
"44","0103","EASTPORT, ME"," ME","Eastport","23029","Washington"
"45","4106","ERIE, PA"," PA","Erie","42049","Erie"
"46","3808","ESCANABA, MI"," MI","Escanaba","26041","Delta"
"47","2802","EUREKA, CA"," CA","Eureka","06023","Humboldt"
"48","3006","EVERETT, WA"," WA","Everett","53061","Snohomish"
"49","3111","FAIRBANKS, AK"," AK","Fairbanks","02090","Fairbanks North Star"
"50","0407","FALL RIVER, MA"," MA","Fall River","44005","Newport"
"51","1805","FERNANDINA, FL"," FL","Fernandina Beach","12089","Nassau"
"52","0110","FORT KENT, ME"," ME","Fort Kent","23003","Aroostook"
"53","5205","FORT PIERCE, FL"," FL","Fort Pierce","12111","St. Lucie"
"54","5311","FREEPORT, TX"," TX","Freeport","48039","Brazoria"
"55","3014","FRIDAY HARBOR, WA"," WA","Friday Harbor","53055","San Juan"
"56","1410","FRONT ROYAL, VA"," VA","Front Royal","51187","Warren"
"57","5310","GALVESTON, TX"," TX","Galveston","48167","Galveston"
"58","3905","GARY, IN"," IN","Gary","18127","Porter"
"59","1602","GEORGETOWN, SC"," SC","Georgetown","45043","Georgetown"
"60","0404","GLOUCESTER, MA"," MA","Gloucester","25009","Essex"
"61","2010","GRAMERCY, LA"," LA","Gramercy","22093","St. James"
"62","3806","GRAND RAPIDS, MI"," MI","Grand Rapids","26081","Kent"
"63","3703","GREEN BAY, WI"," WI","Green Bay","55009","Brown"
"64","2011","GREENVILLE, MS"," MS","Greenville","05017","Chicot"
"65","1902","GULFPORT, MS"," MS","Gulfport","28047","Harrison"
"66","0411","HARTFORD, CT"," CT","Hartford","09003","Hartford"
"67","3202","HILO, HI"," HI","Hilo","15001","Hawaii"
"68","3201","HONOLULU, HI"," HI","Honolulu","15003","Honolulu"
"69","0106","HOULTON, ME"," ME","Houlton","23003","Aroostook"
"70","5301","HOUSTON, TX"," TX","Houston","48339","Montgomery"
"71","1910","HUNTSVILLE, AL"," AL","Huntsville","01103","Morgan"
"72","4117","HURON, OH"," OH","Huron","39043","Erie"
"73","3604","INTERNATIONAL FALLS-RANIER, MN"," MN","International Falls","27071","Koochiching"
"74","1803","JACKSONVILLE, FL"," FL","Jacksonville","12089","Nassau"
"75","3101","JUNEAU, AK"," AK","Juneau","02105","Hoonah-Angoon"
"76","3203","KAHULUI, HI"," HI","Kahului","15009","Maui"
"77","2909","KALAMA, WA"," WA","Kalama","53015","Cowlitz"
"78","3102","KETCHIKAN, AK"," AK","Ketchikan","02130","Ketchikan Gateway"
"79","5202","KEY WEST, FL"," FL","Key West","12087","Monroe"
"80","3206","KONA, HI"," HI","Kona","15001","Hawaii"
"81","2017","LAKE CHARLES, LA"," LA","Lake Charles","22019","Calcasieu"
"82","0118","LIMESTONE, ME"," ME","Limestone","23003","Aroostook"
"83","2709","LONG BEACH, CA"," CA","Long Beach","06059","Orange"
"84","2905","LONGVIEW, WA"," WA","Longview","53015","Cowlitz"
"85","4121","LORAIN, OH"," OH","Lorain","39093","Lorain"
"86","2704","LOS ANGELES, CA"," CA","Los Angeles","06037","Los Angeles"
"87","3023","LYNDEN, WA"," WA","Lynden","53073","Whatcom"
"88","0109","MADAWASKA, ME"," ME","Madawaska","23003","Aroostook"
"89","3702","MARINETTE, WI"," WI","Marinette","55075","Marinette"
"90","3809","MARQUETTE, MI"," MI","Marquette","26103","Marquette"
"91","2820","MARTINEZ, CA"," CA","Martinez","06013","Contra Costa"
"92","0704","MASSENA, NY"," NY","Massena","36089","St. Lawrence"
"93","5201","MIAMI, FL"," FL","Miami","12086","Miami-Dade"
"94","3701","MILWAUKEE, WI"," WI","Milwaukee","55133","Waukesha"
"95","3501","MINNEAPOLIS-ST. PAUL, MN"," MN","Minneapolis-St. Paul","27054","Hennepin"
"96","1901","MOBILE, AL"," AL","Mobile","01003","Baldwin"
"97","2805","MONTEREY, CA"," CA","Monterey","06053","Monterey"
"98","2001","MORGAN CITY, LA"," LA","Morgan City","22101","St. Mary"
"99","2719","MORRO BAY, CA"," CA","Morro Bay","06079","San Luis Obispo"
"100","0405","NEW BEDFORD, MA"," MA","New Bedford","25005","Bristol"
"101","0412","NEW HAVEN, CT"," CT","New Haven","09009","New Haven"
"102","0413","NEW LONDON, CT"," CT","New London","09011","New London"
"103","2002","NEW ORLEANS, LA"," LA","New Orleans","22071","Orleans"
"104","1001","NEW YORK, NY"," NY","New York","36005","Bronx"
"105","2902","NEWPORT, OR"," OR","Newport","41041","Lincoln"
"106","0501","NEWPORT, RI"," RI","Newport","44005","Newport"
"107","1401","NORFOLK-NEWPORT NEWS, VA"," VA","Norfolk-Newport News","51811","Virginia Beach"
"108","2811","OAKLAND, CA"," CA","Oakland","06001","Alameda"
"109","0701","OGDENSBURG, NY"," NY","Ogdensburg","36089","St. Lawrence"
"110","3026","OLYMPIA, WA"," WA","Olympia","53067","Thurston"
"111","2103","ORANGE, TX"," TX","Orange","48361","Orange"
"112","1808","ORLANDO, FL"," FL","Orlando","12097","Osceola"
"113","0904","OSWEGO, NY"," NY","Oswego","36075","Oswego"
"114","1818","PANAMA CITY, FL"," FL","Panama City","12005","Bay"
"115","1903","PASCAGOULA, MS"," MS","Pascagoula","28059","Jackson"
"116","1819","PENSACOLA, FL"," FL","Pensacola","12113","Santa Rosa"
"117","3902","PEORIA, IL"," IL","Peoria","17143","Peoria"
"118","1101","PHILADELPHIA, PA"," PA","Philadelphia","42017","Bucks"
"119","1104","PITTSBURGH, PA"," PA","Pittsburgh","42003","Allegheny"
"120","0406","PLYMOUTH, MA"," MA","Plymouth","25023","Plymouth"
"121","3007","PORT ANGELES, WA"," WA","Port Angeles","53009","Clallam"
"122","2101","PORT ARTHUR, TX"," TX","Port Arthur","22023","Cameron"
"123","1816","PORT CANAVERAL, FL"," FL","Port Canaveral","12009","Brevard"
"124","5203","PORT EVERGLADES, FL"," FL","Port Everglades","12011","Broward"
"125","2713","PORT HUENEME, CA"," CA","Port Hueneme","06111","Ventura"
"126","3802","PORT HURON, MI"," MI","Port Huron","26147","St. Clair"
"127","5313","PORT LAVACA, TX"," TX","Port Lavaca","48057","Calhoun"
"128","1821","PORT MANATEE, FL"," FL","Port Manatee","12081","Manatee"
"129","3008","PORT TOWNSEND, WA"," WA","Port Townsend","53031","Jefferson"
"130","0101","PORTLAND, ME"," ME","Portland","23005","Cumberland"
"131","2904","PORTLAND, OR"," OR","Portland","41067","Washington"
"132","0131","PORTSMOUTH, NH"," NH","Portsmouth","33015","Rockingham"
"133","0502","PROVIDENCE, RI"," RI","Providence","44007","Providence"
"134","3708","RACINE, WI"," WI","Racine","55101","Racine"
"135","2821","REDWOOD CITY, CA"," CA","Redwood City","06081","San Mateo"
"136","1404","RICHMOND-PETERSBURG, VA"," VA","Richmond-Petersburg","51812","Virginia Beach"
"137","2812","RICHMOND, CA"," CA","Richmond","06001","Alameda"
"138","0903","ROCHESTER, NY"," NY","Rochester","36055","Monroe"
"139","3804","SAGINAW-BAY CITY, MI"," MI","Saginaw/Bay City","26145","Saginaw"
"140","0408","SALEM, MA"," MA","Salem","25009","Essex"
"141","2501","SAN DIEGO, CA"," CA","San Diego","06073","San Diego"
"142","2809","SAN FRANCISCO, CA"," CA","San Francisco","06081","San Mateo"
"143","2829","SAN PABLO BAY, CA"," CA","San Pablo Bay","06013","Contra Costa"
"144","3803","SAULT STE MARIE, MI"," MI","Sault Ste. Marie","26033","Chippewa"
"145","1703","SAVANNAH, GA"," GA","Savannah","13103","Effingham"
"146","0152","SEARSPORT, ME"," ME","Searsport","23027","Waldo"
"147","3001","SEATTLE, WA"," WA","Seattle","53035","Kitsap"
"148","2827","SELBY, CA"," CA","Selby","06013","Contra Costa"
"149","3707","SHEBOYGAN, WI"," WI","Sheboygan","55117","Sheboygan"
"150","2018","SHREVEPORT-BOSSIER CITY, LA"," LA","Shreveport/Bossier City","22017","Caddo "
"151","3115","SITKA, AK"," AK","Sitka","02105","Hoonah-Angoon"
"152","3103","SKAGWAY, AK"," AK","Skagway","02230","Skagway"
"153","0905","SODUS POINT, NY"," NY","Sodus Point","36117","Wayne"
"154","1814","ST. PETERSBURG, FL"," FL","St. Petersburg","12057","Hillsborough"
"155","2810","STOCKTON, CA"," CA","Stockton","06077","San Joaquin"
"156","3009","SUMAS, WA"," WA","Sumas","53073","Whatcom"
"157","0906","SYRACUSE, NY"," NY","Syracuse","36067","Onondaga"
"158","3002","TACOMA, WA"," WA","Tacoma","53053","Pierce"
"159","1801","TAMPA, FL"," FL","Tampa","12057","Hillsborough"
"160","5306","TEXAS CITY, TX"," TX","Texas City","48071","Chambers"
"161","4105","TOLEDO-SANDUSKY, OH"," OH","Toledo","39173","Wood"
"162","0000","TOTAL FOR ALL US COASTAL PORTS","United States","Total for all US Coastal Ports","00000","National"
"163","0108","VAN BUREN, ME"," ME","Van Buren","23003","Aroostook"
"164","0105","VANCEBORO, ME"," ME","Vanceboro","23029","Washington"
"165","2908","VANCOUVER, WA"," WA","Vancouver","53011","Clark"
"166","2712","VENTURA, CA"," CA","Ventura","06111","Ventura"
"167","2015","VICKSBURG, MS"," MS","Vicksburg","22065","Madison"
"168","5401","WASHINGTON, DC"," DC","Washington","51013","Arlington"
"169","5204","WEST PALM BEACH, FL"," FL","West Palm Beach","12099","Palm Beach"
"170","1103","WILMINGTON, DE"," DE","Wilmington","34033","Salem"
"171","1501","WILMINGTON, NC"," NC","Wilmington","37129","New Hanover"
"172","1502","WINSTON-SALEM, NC"," NC","Winston-Salem","37067","Forsyth"
"173","0403","WORCESTER, MA"," MA","Worcester","25027","Worcester"
"174","3105","WRANGELL, AK"," AK","Wrangell","02275","Wrangell"
"175","0000","STATE TOTAL"," AK","State Total","","State Total"
"176","0000","STATE TOTAL"," AL","State Total","","State Total"
"177","0000","STATE TOTAL"," CA","State Total","","State Total"
"178","0000","STATE TOTAL"," CT","State Total","","State Total"
"179","0000","STATE TOTAL"," DC","State Total","","State Total"
"180","0000","STATE TOTAL"," DE","State Total","","State Total"
"181","0000","STATE TOTAL"," FL","State Total","","State Total"
"182","0000","STATE TOTAL"," GA","State Total","","State Total"
"183","0000","STATE TOTAL"," HI","State Total","","State Total"
"184","0000","STATE TOTAL"," IL","State Total","","State Total"
"185","0000","STATE TOTAL"," IN","State Total","","State Total"
"186","0000","STATE TOTAL"," LA","State Total","","State Total"
"187","0000","STATE TOTAL"," MA","State Total","","State Total"
"188","0000","STATE TOTAL"," MD","State Total","","State Total"
"189","0000","STATE TOTAL"," ME","State Total","","State Total"
"190","0000","STATE TOTAL"," MI","State Total","","State Total"
"191","0000","STATE TOTAL"," MN","State Total","","State Total"
"192","0000","STATE TOTAL"," MS","State Total","","State Total"
"193","0000","STATE TOTAL"," NC","State Total","","State Total"
"194","0000","STATE TOTAL"," NH","State Total","","State Total"
"195","0000","STATE TOTAL"," NJ","State Total","","State Total"
"196","0000","STATE TOTAL"," NY","State Total","","State Total"
"197","0000","STATE TOTAL"," OH","State Total","","State Total"
"198","0000","STATE TOTAL"," OR","State Total","","State Total"
"199","0000","STATE TOTAL"," PA","State Total","","State Total"
"200","0000","STATE TOTAL"," RI","State Total","","State Total"
"201","0000","STATE TOTAL"," SC","State Total","","State Total"
"202","0000","STATE TOTAL"," TX","State Total","","State Total"
"203","0000","STATE TOTAL"," VA","State Total","","State Total"
"204","0000","STATE TOTAL"," WA","State Total","","State Total"
"205","0000","STATE TOTAL"," WI","State Total","","State Total"
"206","0000","STATE TOTAL"," WV","State Total","","State Total"
"207","0000","COUNTY TOTAL"," CA","County Total","06001","Alameda"
"208","0000","COUNTY TOTAL"," NY","County Total","36001","Albany"
"209","0000","COUNTY TOTAL"," PA","County Total","42003","Allegheny"
"210","0000","COUNTY TOTAL"," MI","County Total","26007","Alpena"
"211","0000","COUNTY TOTAL"," MD","County Total","24003","Anne Arundel"
"212","0000","COUNTY TOTAL"," DC","County Total","51013","Arlington"
"213","0000","COUNTY TOTAL"," ME","County Total","23003","Aroostook"
"214","0000","COUNTY TOTAL"," AL","County Total","01003","Baldwin"
"215","0000","COUNTY TOTAL"," MD","County Total","24005","Baltimore"
"216","0000","COUNTY TOTAL"," FL","County Total","12005","Bay"
"217","0000","COUNTY TOTAL"," TX","County Total","48039","Brazoria"
"218","0000","COUNTY TOTAL"," FL","County Total","12009","Brevard"
"219","0000","COUNTY TOTAL"," MA","County Total","25005","Bristol"
"220","0000","COUNTY TOTAL"," NY","County Total","36005","Bronx"
"221","0000","COUNTY TOTAL"," FL","County Total","12011","Broward"
"222","0000","COUNTY TOTAL"," WI","County Total","55009","Brown"
"223","0000","COUNTY TOTAL"," PA","County Total","42017","Bucks"
"224","0000","COUNTY TOTAL"," LA","County Total","22017","Caddo "
"225","0000","COUNTY TOTAL"," LA","County Total","22019","Calcasieu"
"226","0000","COUNTY TOTAL"," TX","County Total","48057","Calhoun"
"227","0000","COUNTY TOTAL"," TX","County Total","22023","Cameron"
"228","0000","COUNTY TOTAL"," NC","County Total","37031","Carteret"
"229","0000","COUNTY TOTAL"," TX","County Total","48071","Chambers"
"230","0000","COUNTY TOTAL"," SC","County Total","45019","Charleston"
"231","0000","COUNTY TOTAL"," MS","County Total","05017","Chicot"
"232","0000","COUNTY TOTAL"," MI","County Total","26033","Chippewa"
"233","0000","COUNTY TOTAL"," WA","County Total","53009","Clallam"
"234","0000","COUNTY TOTAL"," WA","County Total","53011","Clark"
"235","0000","COUNTY TOTAL"," OR","County Total","41007","Clatsop"
"236","0000","COUNTY TOTAL"," GA","County Total","13067","Cobb"
"237","0000","COUNTY TOTAL"," CA","County Total","06013","Contra Costa"
"238","0000","COUNTY TOTAL"," OR","County Total","41011","Coos"
"239","0000","COUNTY TOTAL"," WA","County Total","53015","Cowlitz"
"240","0000","COUNTY TOTAL"," ME","County Total","23005","Cumberland"
"241","0000","COUNTY TOTAL"," OH","County Total","39035","Cuyahoga"
"242","0000","COUNTY TOTAL"," PA","County Total","42045","Delaware"
"243","0000","COUNTY TOTAL"," MI","County Total","26041","Delta"
"244","0000","COUNTY TOTAL"," MD","County Total","24019","Dorchester"
"245","0000","COUNTY TOTAL"," WI","County Total","55031","Douglas"
"246","0000","COUNTY TOTAL"," IL","County Total","17043","DuPage"
"247","0000","COUNTY TOTAL"," GA","County Total","13103","Effingham"
"248","0000","COUNTY TOTAL"," NY","County Total","36029","Erie"
"249","0000","COUNTY TOTAL"," OH","County Total","39043","Erie"
"250","0000","COUNTY TOTAL"," PA","County Total","42049","Erie"
"251","0000","COUNTY TOTAL"," MA","County Total","25009","Essex"
"252","0000","COUNTY TOTAL"," AK","County Total","02090","Fairbanks North Star"
"253","0000","COUNTY TOTAL"," VA","County Total","51059","Fairfax"
"254","0000","COUNTY TOTAL"," CT","County Total","09001","Fairfield"
"255","0000","COUNTY TOTAL"," OH","County Total","39045","Fairfield"
"256","0000","COUNTY TOTAL"," NC","County Total","37067","Forsyth"
"257","0000","COUNTY TOTAL"," TX","County Total","48167","Galveston"
"258","0000","COUNTY TOTAL"," SC","County Total","45043","Georgetown"
"259","0000","COUNTY TOTAL"," GA","County Total","13127","Glynn"
"260","0000","COUNTY TOTAL"," WA","County Total","53027","Grays Harbor"
"261","0000","COUNTY TOTAL"," OH","County Total","39061","Hamilton"
"262","0000","COUNTY TOTAL"," ME","County Total","23009","Hancock"
"263","0000","COUNTY TOTAL"," TX","County Total","48199","Hardin"
"264","0000","COUNTY TOTAL"," MS","County Total","28047","Harrison"
"265","0000","COUNTY TOTAL"," CT","County Total","09003","Hartford"
"266","0000","COUNTY TOTAL"," HI","County Total","15001","Hawaii"
"267","0000","COUNTY TOTAL"," MN","County Total","27054","Hennepin"
"268","0000","COUNTY TOTAL"," FL","County Total","12057","Hillsborough"
"269","0000","COUNTY TOTAL"," HI","County Total","15003","Honolulu"
"270","0000","COUNTY TOTAL"," AK","County Total","02105","Hoonah-Angoon"
"271","0000","COUNTY TOTAL"," CA","County Total","06023","Humboldt"
"272","0000","COUNTY TOTAL"," MS","County Total","28059","Jackson"
"273","0000","COUNTY TOTAL"," AL","County Total","01073","Jefferson"
"274","0000","COUNTY TOTAL"," NY","County Total","36045","Jefferson"
"275","0000","COUNTY TOTAL"," WA","County Total","53031","Jefferson"
"276","0000","COUNTY TOTAL"," MI","County Total","26081","Kent"
"277","0000","COUNTY TOTAL"," AK","County Total","02130","Ketchikan Gateway"
"278","0000","COUNTY TOTAL"," WA","County Total","53035","Kitsap"
"279","0000","COUNTY TOTAL"," MN","County Total","27071","Koochiching"
"280","0000","COUNTY TOTAL"," OR","County Total","41041","Lincoln"
"281","0000","COUNTY TOTAL"," OH","County Total","39093","Lorain"
"282","0000","COUNTY TOTAL"," CA","County Total","06037","Los Angeles"
"283","0000","COUNTY TOTAL"," MS","County Total","22065","Madison"
"284","0000","COUNTY TOTAL"," FL","County Total","12081","Manatee"
"285","0000","COUNTY TOTAL"," WI","County Total","55075","Marinette"
"286","0000","COUNTY TOTAL"," MI","County Total","26103","Marquette"
"287","0000","COUNTY TOTAL"," AK","County Total","02170","Matanuska-Susitna"
"288","0000","COUNTY TOTAL"," HI","County Total","15009","Maui"
"289","0000","COUNTY TOTAL"," FL","County Total","12086","Miami-Dade"
"290","0000","COUNTY TOTAL"," FL","County Total","12087","Monroe"
"291","0000","COUNTY TOTAL"," NY","County Total","36055","Monroe"
"292","0000","COUNTY TOTAL"," CA","County Total","06053","Monterey"
"293","0000","COUNTY TOTAL"," OH","County Total","39113","Montgomery"
"294","0000","COUNTY TOTAL"," TX","County Total","48339","Montgomery"
"295","0000","COUNTY TOTAL"," AL","County Total","01103","Morgan"
"296","0000","COUNTY TOTAL"," FL","County Total","12089","Nassau"
"297","0000","COUNTY TOTAL"," NC","County Total","37129","New Hanover"
"298","0000","COUNTY TOTAL"," CT","County Total","09009","New Haven"
"299","0000","COUNTY TOTAL"," CT","County Total","09011","New London"
"300","0000","COUNTY TOTAL"," MA","County Total","44005","Newport"
"301","0000","COUNTY TOTAL"," RI","County Total","44005","Newport"
"302","0000","COUNTY TOTAL"," MA","County Total","25021","Norfolk"
"303","0000","COUNTY TOTAL"," MI","County Total","26125","Oakland"
"304","0000","COUNTY TOTAL"," NY","County Total","36067","Onondaga"
"305","0000","COUNTY TOTAL"," CA","County Total","06059","Orange"
"306","0000","COUNTY TOTAL"," TX","County Total","48361","Orange"
"307","0000","COUNTY TOTAL"," LA","County Total","22071","Orleans"
"308","0000","COUNTY TOTAL"," FL","County Total","12097","Osceola"
"309","0000","COUNTY TOTAL"," NY","County Total","36075","Oswego"
"310","0000","COUNTY TOTAL"," FL","County Total","12099","Palm Beach"
"311","0000","COUNTY TOTAL"," ME","County Total","23019","Penobscot"
"312","0000","COUNTY TOTAL"," IL","County Total","17143","Peoria"
"313","0000","COUNTY TOTAL"," WA","County Total","53053","Pierce"
"314","0000","COUNTY TOTAL"," MA","County Total","25023","Plymouth"
"315","0000","COUNTY TOTAL"," IN","County Total","18127","Porter"
"316","0000","COUNTY TOTAL"," RI","County Total","44007","Providence"
"317","0000","COUNTY TOTAL"," WI","County Total","55101","Racine"
"318","0000","COUNTY TOTAL"," SC","County Total","45079","Richland"
"319","0000","COUNTY TOTAL"," NH","County Total","33015","Rockingham"
"320","0000","COUNTY TOTAL"," MI","County Total","26145","Saginaw"
"321","0000","COUNTY TOTAL"," DE","County Total","34033","Salem"
"322","0000","COUNTY TOTAL"," CA","County Total","06073","San Diego"
"323","0000","COUNTY TOTAL"," CA","County Total","06077","San Joaquin"
"324","0000","COUNTY TOTAL"," WA","County Total","53055","San Juan"
"325","0000","COUNTY TOTAL"," CA","County Total","06079","San Luis Obispo"
"326","0000","COUNTY TOTAL"," CA","County Total","06081","San Mateo"
"327","0000","COUNTY TOTAL"," TX","County Total","48409","San Patricio"
"328","0000","COUNTY TOTAL"," FL","County Total","12113","Santa Rosa"
"329","0000","COUNTY TOTAL"," WI","County Total","55117","Sheboygan"
"330","0000","COUNTY TOTAL"," WA","County Total","53057","Skagit"
"331","0000","COUNTY TOTAL"," AK","County Total","02230","Skagway"
"332","0000","COUNTY TOTAL"," WA","County Total","53061","Snohomish"
"333","0000","COUNTY TOTAL"," MI","County Total","26147","St. Clair"
"334","0000","COUNTY TOTAL"," LA","County Total","22093","St. James"
"335","0000","COUNTY TOTAL"," NY","County Total","36089","St. Lawrence"
"336","0000","COUNTY TOTAL"," FL","County Total","12111","St. Lucie"
"337","0000","COUNTY TOTAL"," LA","County Total","22101","St. Mary"
"338","0000","COUNTY TOTAL"," WA","County Total","53067","Thurston"
"339","0000","COUNTY TOTAL"," CA","County Total","06111","Ventura"
"340","0000","COUNTY TOTAL"," VA","County Total","51812","Virginia Beach"
"341","0000","COUNTY TOTAL"," VA","County Total","51812","Virginia Beach"
"342","0000","COUNTY TOTAL"," VA","County Total","51811","Virginia Beach"
"343","0000","COUNTY TOTAL"," VA","County Total","51811","Virginia Beach"
"344","0000","COUNTY TOTAL"," WV","County Total","51813","Virginia Beach"
"345","0000","COUNTY TOTAL"," NC","County Total","37183","Wake"
"346","0000","COUNTY TOTAL"," ME","County Total","23027","Waldo"
"347","0000","COUNTY TOTAL"," VA","County Total","51187","Warren"
"348","0000","COUNTY TOTAL"," ME","County Total","23029","Washington"
"349","0000","COUNTY TOTAL"," OR","County Total","41067","Washington"
"350","0000","COUNTY TOTAL"," WI","County Total","55133","Waukesha"
"351","0000","COUNTY TOTAL"," NY","County Total","36117","Wayne"
"352","0000","COUNTY TOTAL"," LA","County Total","22121","West Baton Rouge"
"353","0000","COUNTY TOTAL"," WA","County Total","53073","Whatcom"
"354","0000","COUNTY TOTAL"," OH","County Total","39173","Wood"
"355","0000","COUNTY TOTAL"," MA","County Total","25027","Worcester"
"356","0000","COUNTY TOTAL"," AK","County Total","02275","Wrangell"
"357","0000","COUNTY TOTAL"," NC","County Total","45091","York"
"358","0000","TOTAL FOR ALL US COASTAL PORTS","United States","Total for all US Coastal Ports","00000","National"
